year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1969,8,15,25.26,24.4,40.03,14.64,21.1,26.65,3.72,3.3,20.28
1969,8,23,24.62,24.4,40.63,13.16,18.3,26.99,3.99,6.1,21.11
1971,3,26,8.75,6.7,37.53,-7.12,1.7,23.84,1.28,5,28.28
1971,5,4,16.85,22.2,39.57,0.62,0.6,24.98,2.83,21.6,27.99
1972,5,27,20.64,20,40.9,6.27,12.8,27.35,3.22,7.2,24.7
1972,6,19,22.37,24.4,42.4,11.59,21.1,26.76,3.43,3.3,22.99
1972,6,23,25.83,31.1,40.6,13.43,12.8,26.45,4.7,18.3,21.85
1973,2,10,-2.19,-2.2,36.2,-15.72,-5.6,21.67,-0.66,3.4,28.71
1973,2,11,-0.78,-1.1,34.87,-14.52,-6.7,20.65,-0.27,5.6,28.24
1974,10,4,17.86,18.3,38,1.13,0.6,27.46,1.59,17.7,25.69
1975,8,20,23.29,37.2,41.95,15,26.7,26.21,2.5,10.5,21.52
1976,8,3,25.35,22.2,40.51,15.76,18.3,26.3,4.23,3.9,19.57
1976,8,18,25.07,27.2,41.1,15.12,15,26.5,4.08,12.2,20.47
1976,8,20,23.29,20.6,41.95,15,17.2,26.21,2.5,3.4,21.52
1976,9,13,22.67,27.8,38.69,8.96,8.9,27.3,4.31,18.9,20.8
1976,9,16,20.85,20,40.04,9.56,17.8,26.95,0.13,2.2,24.26
1976,10,28,12.58,10.6,35.78,-7.11,-3.3,25.41,2.67,13.9,27.39
1977,1,19,-0.28,-0.6,32.83,-15.15,-9.4,20.7,0.18,8.8,26.82
1977,10,14,15.34,13.3,37.21,-1.91,1.7,26.35,2.08,11.6,26.04
1979,2,19,1.69,-1.1,34.12,-13.92,-7.8,21.49,-1.96,6.7,30.2
1979,6,26,24.91,21.7,41.3,13.07,16.1,27.32,4.34,5.6,21.48
1979,6,27,23.94,20.6,41.27,13.45,17.2,26.8,2.7,3.4,22.27
1979,6,28,23.67,22.2,42,13.36,14.4,26.83,3.9,7.8,21.58
1979,6,29,24.02,23.3,41.28,12.87,15.6,27.39,3.58,7.7,21.46
1979,8,13,25.67,29.4,39.93,14.65,14.4,26.93,4.64,15,19.38
1979,8,17,26.85,31.1,39.41,14.57,13.3,26.83,4.88,17.8,19.99
1980,3,3,0.38,-2.2,38.18,-12.09,-8.9,21.92,-0.47,6.7,29.21
1980,3,4,2.96,2.2,37.07,-12.78,-6.7,22.9,0.28,8.9,29.63
1980,5,10,19.17,18.9,38.49,2.58,5.6,25.18,3.98,13.3,25.92
1980,7,26,26.26,25.6,40.62,15.48,21.1,26.56,5.56,4.5,19.28
1981,6,29,24.02,31.7,41.28,12.87,12.8,27.39,3.58,18.9,21.46
1981,7,2,25.03,25.6,41.08,13.91,25.6,26.76,3.67,0,21.77
1981,7,5,25.26,27.8,40.73,13.88,25.6,26.52,3.91,2.2,21.68
1981,8,21,24.17,23.3,41.42,14.28,20,26.72,4.37,3.3,20.22
1981,8,22,24.7,24.4,40.46,13.52,17.8,27.11,3.59,6.6,20.94
1982,5,15,19.32,34.4,39.26,3.43,5.6,26.24,2.49,28.8,26.43
1982,5,31,21.21,26.7,40.85,7.76,25.6,26.16,2.44,1.1,25.7
1982,6,18,21.38,22.2,43.23,11.8,19.4,26.06,2.93,2.8,23.82
